,NIDID,month,alpha,release_adj,increment1,increment2,increment3,inc_mult,demand_factor,cell_id,lat,lon,cell_id_orig,lat_orig,lon_orig,WBM_Decision
30,AL01137,7,1.603973568,1.330324038,0.241100411,0.03187576,0.542390296,0.999970361,-1.047576564,2558767,33.258335,-87.491669,2558767,33.2583,-87.4917,WBM Input
31,AL01137,8,1.44799897,1.274844718,0.512088772,0.066549517,0.209461418,1.000329125,-1.00241782,2558767,33.258335,-87.491669,2558767,33.2583,-87.4917,WBM Input
32,AL01137,9,1.553237391,1.103000827,0.917017916,0.092906772,0.199924223,1.13531206,-0.991521334,2558767,33.258335,-87.491669,2558767,33.2583,-87.4917,WBM Input
33,AL01137,10,1.760587732,1.041663199,0.913412703,0.005319987,-0.173878732,1.215574816,-0.988063184,2558767,33.258335,-87.491669,2558767,33.2583,-87.4917,WBM Input
34,AL01137,11,1.781410204,0.992012595,1.0,-0.025227312,-0.199966422,1.213773585,-0.987784772,2558767,33.258335,-87.491669,2558767,33.2583,-87.4917,WBM Input
35,AL01137,12,1.758965505,0.81561556,1.0,0.015297241,-0.127460404,1.069273191,-0.998755608,2558767,33.258335,-87.491669,2558767,33.2583,-87.4917,WBM Input
36,AL01311,1,1.627180309,0.765339124,0.867181944,-0.082477382,-0.199990306,0.999991115,-1.116124237,2562429,33.458332,-86.675003,2562429,33.4583,-86.675,WBM Input
37,AL01311,2,2.058060575,0.887357186,0.752603948,-0.000331262,-0.079155834,1.000289571,-1.042881734,2562429,33.458332,-86.675003,2562429,33.4583,-86.675,WBM Input
38,AL01311,3,2.361218306,1.088225552,0.783121992,-0.082320852,-0.199990443,1.105858803,-1.00333789,2562429,33.458332,-86.675003,2562429,33.4583,-86.675,WBM Input
39,AL01311,4,3.205215216,1.117709523,0.319823814,-0.130751577,-0.254156662,1.001123762,-0.924621885,2562429,33.458332,-86.675003,2562429,33.4583,-86.675,WBM Input
40,AL01311,5,2.886471506,1.258611896,0.340580244,-0.121659485,0.296341471,1.41571572,-1.043041451,2562429,33.458332,-86.675003,2562429,33.4583,-86.675,WBM Input
41,AL01311,6,2.475211202,1.311330375,0.282630801,0.010638193,0.580898343,1.176191658,-1.088315368,2562429,33.458332,-86.675003,2562429,33.4583,-86.675,WBM Input
42,AL01311,7,1.603973568,1.330324038,0.241100411,0.03187576,0.542390296,0.999970361,-1.047576564,2562429,33.458332,-86.675003,2562429,33.4583,-86.675,WBM Input
43,AL01311,8,1.44799897,1.274844718,0.512088772,0.066549517,0.209461418,1.000329125,-1.00241782,2562429,33.458332,-86.675003,2562429,33.4583,-86.675,WBM Input
44,AL01311,9,1.553237391,1.103000827,0.917017916,0.092906772,0.199924223,1.13531206,-0.991521334,2562429,33.458332,-86.675003,2562429,33.4583,-86.675,WBM Input
45,AL01311,10,1.760587732,1.041663199,0.913412703,0.005319987,-0.173878732,1.215574816,-0.988063184,2562429,33.458332,-86.675003,2562429,33.4583,-86.675,WBM Input
46,AL01311,11,1.781410204,0.992012595,1.0,-0.025227312,-0.199966422,1.213773585,-0.987784772,2562429,33.458332,-86.675003,2562429,33.4583,-86.675,WBM Input
47,AL01311,12,1.758965505,0.81561556,1.0,0.015297241,-0.127460404,1.069273191,-0.998755608,2562429,33.458332,-86.675003,2562429,33.4583,-86.675,WBM Input
48,AL01415,1,1.627180309,0.765339124,0.867181944,-0.082477382,-0.199990306,0.999991115,-1.116124237,2557998,34.158333,-85.741669,2557998,34.1583,-85.7417,WBM Input
49,AL01415,2,2.058060575,0.887357186,0.752603948,-0.000331262,-0.079155834,1.000289571,-1.042881734,2557998,34.158333,-85.741669,2557998,34.1583,-85.7417,WBM Input
50,AL01415,3,2.361218306,1.088225552,0.783121992,-0.082320852,-0.199990443,1.105858803,-1.00333789,2557998,34.158333,-85.741669,2557998,34.1583,-85.7417,WBM Input
51,AL01415,4,3.205215216,1.117709523,0.319823814,-0.130751577,-0.254156662,1.001123762,-0.924621885,2557998,34.158333,-85.741669,2557998,34.1583,-85.7417,WBM Input
52,AL01415,5,2.886471506,1.258611896,0.340580244,-0.121659485,0.296341471,1.41571572,-1.043041451,2557998,34.158333,-85.741669,2557998,34.1583,-85.7417,WBM Input
53,AL01415,6,2.475211202,1.311330375,0.282630801,0.010638193,0.580898343,1.176191658,-1.088315368,2557998,34.158333,-85.741669,2557998,34.1583,-85.7417,WBM Input
54,AL01415,7,1.603973568,1.330324038,0.241100411,0.03187576,0.542390296,0.999970361,-1.047576564,2557998,34.158333,-85.741669,2557998,34.1583,-85.7417,WBM Input
55,AL01415,8,1.44799897,1.274844718,0.512088772,0.066549517,0.209461418,1.000329125,-1.00241782,2557998,34.158333,-85.741669,2557998,34.1583,-85.7417,WBM Input
56,AL01415,9,1.553237391,1.103000827,0.917017916,0.092906772,0.199924223,1.13531206,-0.991521334,2557998,34.158333,-85.741669,2557998,34.1583,-85.7417,WBM Input
57,AL01415,10,1.760587732,1.041663199,0.913412703,0.005319987,-0.173878732,1.215574816,-0.988063184,2557998,34.158333,-85.741669,2557998,34.1583,-85.7417,WBM Input
58,AL01415,11,1.781410204,0.992012595,1.0,-0.025227312,-0.199966422,1.213773585,-0.987784772,2557998,34.158333,-85.741669,2557998,34.1583,-85.7417,WBM Input
59,AL01415,12,1.758965505,0.81561556,1.0,0.015297241,-0.127460404,1.069273191,-0.998755608,2557998,34.158333,-85.741669,2557998,34.1583,-85.7417,WBM Input
60,AL01416,1,1.627180309,0.765339124,0.867181944,-0.082477382,-0.199990306,0.999991115,-1.116124237,2557891,33.775002,-86.058334,2557891,33.775,-86.0583,WBM Input
61,AL01416,2,2.058060575,0.887357186,0.752603948,-0.000331262,-0.079155834,1.000289571,-1.042881734,2557891,33.775002,-86.058334,2557891,33.775,-86.0583,WBM Input
62,AL01416,3,2.361218306,1.088225552,0.783121992,-0.082320852,-0.199990443,1.105858803,-1.00333789,2557891,33.775002,-86.058334,2557891,33.775,-86.0583,WBM Input
63,AL01416,4,3.205215216,1.117709523,0.319823814,-0.130751577,-0.254156662,1.001123762,-0.924621885,2557891,33.775002,-86.058334,2557891,33.775,-86.0583,WBM Input
64,AL01416,5,2.886471506,1.258611896,0.340580244,-0.121659485,0.296341471,1.41571572,-1.043041451,2557891,33.775002,-86.058334,2557891,33.775,-86.0583,WBM Input
65,AL01416,6,2.475211202,1.311330375,0.282630801,0.010638193,0.580898343,1.176191658,-1.088315368,2557891,33.775002,-86.058334,2557891,33.775,-86.0583,WBM Input
66,AL01416,7,1.603973568,1.330324038,0.241100411,0.03187576,0.542390296,0.999970361,-1.047576564,2557891,33.775002,-86.058334,2557891,33.775,-86.0583,WBM Input
67,AL01416,8,1.44799897,1.274844718,0.512088772,0.066549517,0.209461418,1.000329125,-1.00241782,2557891,33.775002,-86.058334,2557891,33.775,-86.0583,WBM Input
68,AL01416,9,1.553237391,1.103000827,0.917017916,0.092906772,0.199924223,1.13531206,-0.991521334,2557891,33.775002,-86.058334,2557891,33.775,-86.0583,WBM Input
69,AL01416,10,1.760587732,1.041663199,0.913412703,0.005319987,-0.173878732,1.215574816,-0.988063184,2557891,33.775002,-86.058334,2557891,33.775,-86.0583,WBM Input
70,AL01416,11,1.781410204,0.992012595,1.0,-0.025227312,-0.199966422,1.213773585,-0.987784772,2557891,33.775002,-86.058334,2557891,33.775,-86.0583,WBM Input
71,AL01416,12,1.758965505,0.81561556,1.0,0.015297241,-0.127460404,1.069273191,-0.998755608,2557891,33.775002,-86.058334,2557891,33.775,-86.0583,WBM Input
72,AL01417,1,1.627180309,0.765339124,0.867181944,-0.082477382,-0.199990306,0.999991115,-1.116124237,2557856,33.441666,-86.324997,2557856,33.4417,-86.325,WBM Input
73,AL01417,2,2.058060575,0.887357186,0.752603948,-0.000331262,-0.079155834,1.000289571,-1.042881734,2557856,33.441666,-86.324997,2557856,33.4417,-86.325,WBM Input
74,AL01417,3,2.361218306,1.088225552,0.783121992,-0.082320852,-0.199990443,1.105858803,-1.00333789,2557856,33.441666,-86.324997,2557856,33.4417,-86.325,WBM Input
75,AL01417,4,3.205215216,1.117709523,0.319823814,-0.130751577,-0.254156662,1.001123762,-0.924621885,2557856,33.441666,-86.324997,2557856,33.4417,-86.325,WBM Input
76,AL01417,5,2.886471506,1.258611896,0.340580244,-0.121659485,0.296341471,1.41571572,-1.043041451,2557856,33.441666,-86.324997,2557856,33.4417,-86.325,WBM Input
77,AL01417,6,2.475211202,1.311330375,0.282630801,0.010638193,0.580898343,1.176191658,-1.088315368,2557856,33.441666,-86.324997,2557856,33.4417,-86.325,WBM Input
78,AL01417,7,1.603973568,1.330324038,0.241100411,0.03187576,0.542390296,0.999970361,-1.047576564,2557856,33.441666,-86.324997,2557856,33.4417,-86.325,WBM Input
79,AL01417,8,1.44799897,1.274844718,0.512088772,0.066549517,0.209461418,1.000329125,-1.00241782,2557856,33.441666,-86.324997,2557856,33.4417,-86.325,WBM Input
80,AL01417,9,1.553237391,1.103000827,0.917017916,0.092906772,0.199924223,1.13531206,-0.991521334,2557856,33.441666,-86.324997,2557856,33.4417,-86.325,WBM Input
81,AL01417,10,1.760587732,1.041663199,0.913412703,0.005319987,-0.173878732,1.215574816,-0.988063184,2557856,33.441666,-86.324997,2557856,33.4417,-86.325,WBM Input
82,AL01417,11,1.781410204,0.992012595,1.0,-0.025227312,-0.199966422,1.213773585,-0.987784772,2557856,33.441666,-86.324997,2557856,33.4417,-86.325,WBM Input
83,AL01417,12,1.758965505,0.81561556,1.0,0.015297241,-0.127460404,1.069273191,-0.998755608,2557856,33.441666,-86.324997,2557856,33.4417,-86.325,WBM Input
84,AL01418,1,1.627180309,0.765339124,0.867181944,-0.082477382,-0.199990306,0.999991115,-1.116124237,2557790,32.958332,-86.525002,2557790,32.9583,-86.525,"No WBM Input, Hydro"
85,AL01418,2,2.058060575,0.887357186,0.752603948,-0.000331262,-0.079155834,1.000289571,-1.042881734,2557790,32.958332,-86.525002,2557790,32.9583,-86.525,"No WBM Input, Hydro"
86,AL01418,3,2.361218306,1.088225552,0.783121992,-0.082320852,-0.199990443,1.105858803,-1.00333789,2557790,32.958332,-86.525002,2557790,32.9583,-86.525,"No WBM Input, Hydro"
87,AL01418,4,3.205215216,1.117709523,0.319823814,-0.130751577,-0.254156662,1.001123762,-0.924621885,2557790,32.958332,-86.525002,2557790,32.9583,-86.525,"No WBM Input, Hydro"
88,AL01418,5,2.886471506,1.258611896,0.340580244,-0.121659485,0.296341471,1.41571572,-1.043041451,2557790,32.958332,-86.525002,2557790,32.9583,-86.525,"No WBM Input, Hydro"
89,AL01418,6,2.475211202,1.311330375,0.282630801,0.010638193,0.580898343,1.176191658,-1.088315368,2557790,32.958332,-86.525002,2557790,32.9583,-86.525,"No WBM Input, Hydro"
90,AL01418,7,1.603973568,1.330324038,0.241100411,0.03187576,0.542390296,0.999970361,-1.047576564,2557790,32.958332,-86.525002,2557790,32.9583,-86.525,"No WBM Input, Hydro"
91,AL01418,8,1.44799897,1.274844718,0.512088772,0.066549517,0.209461418,1.000329125,-1.00241782,2557790,32.958332,-86.525002,2557790,32.9583,-86.525,"No WBM Input, Hydro"
92,AL01418,9,1.553237391,1.103000827,0.917017916,0.092906772,0.199924223,1.13531206,-0.991521334,2557790,32.958332,-86.525002,2557790,32.9583,-86.525,"No WBM Input, Hydro"
93,AL01418,10,1.760587732,1.041663199,0.913412703,0.005319987,-0.173878732,1.215574816,-0.988063184,2557790,32.958332,-86.525002,2557790,32.9583,-86.525,"No WBM Input, Hydro"
94,AL01418,11,1.781410204,0.992012595,1.0,-0.025227312,-0.199966422,1.213773585,-0.987784772,2557790,32.958332,-86.525002,2557790,32.9583,-86.525,"No WBM Input, Hydro"
95,AL01418,12,1.758965505,0.81561556,1.0,0.015297241,-0.127460404,1.069273191,-0.998755608,2557790,32.958332,-86.525002,2557790,32.9583,-86.525,"No WBM Input, Hydro"
96,AL01419,1,1.627180309,0.765339124,0.867181944,-0.082477382,-0.199990306,0.999991115,-1.116124237,2557768,32.625,-86.258331,2557768,32.625,-86.2583,"No WBM Input, Hydro"
97,AL01419,2,2.058060575,0.887357186,0.752603948,-0.000331262,-0.079155834,1.000289571,-1.042881734,2557768,32.625,-86.258331,2557768,32.625,-86.2583,"No WBM Input, Hydro"
98,AL01419,3,2.361218306,1.088225552,0.783121992,-0.082320852,-0.199990443,1.105858803,-1.00333789,2557768,32.625,-86.258331,2557768,32.625,-86.2583,"No WBM Input, Hydro"
99,AL01419,4,3.205215216,1.117709523,0.319823814,-0.130751577,-0.254156662,1.001123762,-0.924621885,2557768,32.625,-86.258331,2557768,32.625,-86.2583,"No WBM Input, Hydro"
100,AL01419,5,2.886471506,1.258611896,0.340580244,-0.121659485,0.296341471,1.41571572,-1.043041451,2557768,32.625,-86.258331,2557768,32.625,-86.2583,"No WBM Input, Hydro"
101,AL01419,6,2.475211202,1.311330375,0.282630801,0.010638193,0.580898343,1.176191658,-1.088315368,2557768,32.625,-86.258331,2557768,32.625,-86.2583,"No WBM Input, Hydro"
102,AL01419,7,1.603973568,1.330324038,0.241100411,0.03187576,0.542390296,0.999970361,-1.047576564,2557768,32.625,-86.258331,2557768,32.625,-86.2583,"No WBM Input, Hydro"
103,AL01419,8,1.44799897,1.274844718,0.512088772,0.066549517,0.209461418,1.000329125,-1.00241782,2557768,32.625,-86.258331,2557768,32.625,-86.2583,"No WBM Input, Hydro"
104,AL01419,9,1.553237391,1.103000827,0.917017916,0.092906772,0.199924223,1.13531206,-0.991521334,2557768,32.625,-86.258331,2557768,32.625,-86.2583,"No WBM Input, Hydro"
105,AL01419,10,1.760587732,1.041663199,0.913412703,0.005319987,-0.173878732,1.215574816,-0.988063184,2557768,32.625,-86.258331,2557768,32.625,-86.2583,"No WBM Input, Hydro"
106,AL01419,11,1.781410204,0.992012595,1.0,-0.025227312,-0.199966422,1.213773585,-0.987784772,2557768,32.625,-86.258331,2557768,32.625,-86.2583,"No WBM Input, Hydro"
107,AL01419,12,1.758965505,0.81561556,1.0,0.015297241,-0.127460404,1.069273191,-0.998755608,2557768,32.625,-86.258331,2557768,32.625,-86.2583,"No WBM Input, Hydro"
108,AL01420,1,1.627180309,0.765339124,0.867181944,-0.082477382,-0.199990306,0.999991115,-1.116124237,2558413,33.941666,-87.10833,2558413,33.9417,-87.1083,WBM Input
109,AL01420,2,2.058060575,0.887357186,0.752603948,-0.000331262,-0.079155834,1.000289571,-1.042881734,2558413,33.941666,-87.10833,2558413,33.9417,-87.1083,WBM Input
110,AL01420,3,2.361218306,1.088225552,0.783121992,-0.082320852,-0.199990443,1.105858803,-1.00333789,2558413,33.941666,-87.10833,2558413,33.9417,-87.1083,WBM Input
111,AL01420,4,3.205215216,1.117709523,0.319823814,-0.130751577,-0.254156662,1.001123762,-0.924621885,2558413,33.941666,-87.10833,2558413,33.9417,-87.1083,WBM Input
112,AL01420,5,2.886471506,1.258611896,0.340580244,-0.121659485,0.296341471,1.41571572,-1.043041451,2558413,33.941666,-87.10833,2558413,33.9417,-87.1083,WBM Input
113,AL01420,6,2.475211202,1.311330375,0.282630801,0.010638193,0.580898343,1.176191658,-1.088315368,2558413,33.941666,-87.10833,2558413,33.9417,-87.1083,WBM Input
114,AL01420,7,1.603973568,1.330324038,0.241100411,0.03187576,0.542390296,0.999970361,-1.047576564,2558413,33.941666,-87.10833,2558413,33.9417,-87.1083,WBM Input
115,AL01420,8,1.44799897,1.274844718,0.512088772,0.066549517,0.209461418,1.000329125,-1.00241782,2558413,33.941666,-87.10833,2558413,33.9417,-87.1083,WBM Input
116,AL01420,9,1.553237391,1.103000827,0.917017916,0.092906772,0.199924223,1.13531206,-0.991521334,2558413,33.941666,-87.10833,2558413,33.9417,-87.1083,WBM Input
117,AL01420,10,1.760587732,1.041663199,0.913412703,0.005319987,-0.173878732,1.215574816,-0.988063184,2558413,33.941666,-87.10833,2558413,33.9417,-87.1083,WBM Input
118,AL01420,11,1.781410204,0.992012595,1.0,-0.025227312,-0.199966422,1.213773585,-0.987784772,2558413,33.941666,-87.10833,2558413,33.9417,-87.1083,WBM Input
119,AL01420,12,1.758965505,0.81561556,1.0,0.015297241,-0.127460404,1.069273191,-0.998755608,2558413,33.941666,-87.10833,2558413,33.9417,-87.1083,WBM Input
120,AL01421,1,1.627180309,0.765339124,0.867181944,-0.082477382,-0.199990306,0.999991115,-1.116124237,2558135,32.575001,-85.89167,2558135,32.575,-85.8917,WBM Input
