,NIDID,month,alpha,release_adj,increment1,increment2,increment3,inc_mult,demand_factor,cell_id,lat,lon,cell_id_orig,lat_orig,lon_orig,WBM_Decision
1850,CA00417,3,2.361218306,1.088225552,0.783121992,-0.082320852,-0.199990443,1.105858803,-1.00333789,2413765,41.025002,-121.991669,2413765,41.025,-121.9917,WBM Input
1851,CA00417,4,3.205215216,1.117709523,0.319823814,-0.130751577,-0.254156662,1.001123762,-0.924621885,2413765,41.025002,-121.991669,2413765,41.025,-121.9917,WBM Input
1852,CA00417,5,2.886471506,1.258611896,0.340580244,-0.121659485,0.296341471,1.41571572,-1.043041451,2413765,41.025002,-121.991669,2413765,41.025,-121.9917,WBM Input
1853,CA00417,6,2.475211202,1.311330375,0.282630801,0.010638193,0.580898343,1.176191658,-1.088315368,2413765,41.025002,-121.991669,2413765,41.025,-121.9917,WBM Input
1854,CA00417,7,1.603973568,1.330324038,0.241100411,0.03187576,0.542390296,0.999970361,-1.047576564,2413765,41.025002,-121.991669,2413765,41.025,-121.9917,WBM Input
1855,CA00417,8,1.44799897,1.274844718,0.512088772,0.066549517,0.209461418,1.000329125,-1.00241782,2413765,41.025002,-121.991669,2413765,41.025,-121.9917,WBM Input
1856,CA00417,9,1.553237391,1.103000827,0.917017916,0.092906772,0.199924223,1.13531206,-0.991521334,2413765,41.025002,-121.991669,2413765,41.025,-121.9917,WBM Input
1857,CA00417,10,1.760587732,1.041663199,0.913412703,0.005319987,-0.173878732,1.215574816,-0.988063184,2413765,41.025002,-121.991669,2413765,41.025,-121.9917,WBM Input
1858,CA00417,11,1.781410204,0.992012595,1.0,-0.025227312,-0.199966422,1.213773585,-0.987784772,2413765,41.025002,-121.991669,2413765,41.025,-121.9917,WBM Input
1859,CA00417,12,1.758965505,0.81561556,1.0,0.015297241,-0.127460404,1.069273191,-0.998755608,2413765,41.025002,-121.991669,2413765,41.025,-121.9917,WBM Input
1860,CA00430,1,1.627180309,0.765339124,0.867181944,-0.082477382,-0.199990306,0.999991115,-1.116124237,2405903,37.208332,-119.224998,2405903,37.2083,-119.225,WBM Input
1861,CA00430,2,2.058060575,0.887357186,0.752603948,-0.000331262,-0.079155834,1.000289571,-1.042881734,2405903,37.208332,-119.224998,2405903,37.2083,-119.225,WBM Input
1862,CA00430,3,2.361218306,1.088225552,0.783121992,-0.082320852,-0.199990443,1.105858803,-1.00333789,2405903,37.208332,-119.224998,2405903,37.2083,-119.225,WBM Input
1863,CA00430,4,3.205215216,1.117709523,0.319823814,-0.130751577,-0.254156662,1.001123762,-0.924621885,2405903,37.208332,-119.224998,2405903,37.2083,-119.225,WBM Input
1864,CA00430,5,2.886471506,1.258611896,0.340580244,-0.121659485,0.296341471,1.41571572,-1.043041451,2405903,37.208332,-119.224998,2405903,37.2083,-119.225,WBM Input
1865,CA00430,6,2.475211202,1.311330375,0.282630801,0.010638193,0.580898343,1.176191658,-1.088315368,2405903,37.208332,-119.224998,2405903,37.2083,-119.225,WBM Input
1866,CA00430,7,1.603973568,1.330324038,0.241100411,0.03187576,0.542390296,0.999970361,-1.047576564,2405903,37.208332,-119.224998,2405903,37.2083,-119.225,WBM Input
1867,CA00430,8,1.44799897,1.274844718,0.512088772,0.066549517,0.209461418,1.000329125,-1.00241782,2405903,37.208332,-119.224998,2405903,37.2083,-119.225,WBM Input
1868,CA00430,9,1.553237391,1.103000827,0.917017916,0.092906772,0.199924223,1.13531206,-0.991521334,2405903,37.208332,-119.224998,2405903,37.2083,-119.225,WBM Input
1869,CA00430,10,1.760587732,1.041663199,0.913412703,0.005319987,-0.173878732,1.215574816,-0.988063184,2405903,37.208332,-119.224998,2405903,37.2083,-119.225,WBM Input
1870,CA00430,11,1.781410204,0.992012595,1.0,-0.025227312,-0.199966422,1.213773585,-0.987784772,2405903,37.208332,-119.224998,2405903,37.2083,-119.225,WBM Input
1871,CA00430,12,1.758965505,0.81561556,1.0,0.015297241,-0.127460404,1.069273191,-0.998755608,2405903,37.208332,-119.224998,2405903,37.2083,-119.225,WBM Input
1872,CA00431,1,1.627180309,0.765339124,0.867181944,-0.082477382,-0.199990306,0.999991115,-1.116124237,2405538,37.191666,-119.275002,2405538,37.1917,-119.275,WBM Input
1873,CA00431,2,2.058060575,0.887357186,0.752603948,-0.000331262,-0.079155834,1.000289571,-1.042881734,2405538,37.191666,-119.275002,2405538,37.1917,-119.275,WBM Input
1874,CA00431,3,2.361218306,1.088225552,0.783121992,-0.082320852,-0.199990443,1.105858803,-1.00333789,2405538,37.191666,-119.275002,2405538,37.1917,-119.275,WBM Input
1875,CA00431,4,3.205215216,1.117709523,0.319823814,-0.130751577,-0.254156662,1.001123762,-0.924621885,2405538,37.191666,-119.275002,2405538,37.1917,-119.275,WBM Input
1876,CA00431,5,2.886471506,1.258611896,0.340580244,-0.121659485,0.296341471,1.41571572,-1.043041451,2405538,37.191666,-119.275002,2405538,37.1917,-119.275,WBM Input
1877,CA00431,6,2.475211202,1.311330375,0.282630801,0.010638193,0.580898343,1.176191658,-1.088315368,2405538,37.191666,-119.275002,2405538,37.1917,-119.275,WBM Input
1878,CA00431,7,1.603973568,1.330324038,0.241100411,0.03187576,0.542390296,0.999970361,-1.047576564,2405538,37.191666,-119.275002,2405538,37.1917,-119.275,WBM Input
1879,CA00431,8,1.44799897,1.274844718,0.512088772,0.066549517,0.209461418,1.000329125,-1.00241782,2405538,37.191666,-119.275002,2405538,37.1917,-119.275,WBM Input
1880,CA00431,9,1.553237391,1.103000827,0.917017916,0.092906772,0.199924223,1.13531206,-0.991521334,2405538,37.191666,-119.275002,2405538,37.1917,-119.275,WBM Input
1881,CA00431,10,1.760587732,1.041663199,0.913412703,0.005319987,-0.173878732,1.215574816,-0.988063184,2405538,37.191666,-119.275002,2405538,37.1917,-119.275,WBM Input
1882,CA00431,11,1.781410204,0.992012595,1.0,-0.025227312,-0.199966422,1.213773585,-0.987784772,2405538,37.191666,-119.275002,2405538,37.1917,-119.275,WBM Input
1883,CA00431,12,1.758965505,0.81561556,1.0,0.015297241,-0.127460404,1.069273191,-0.998755608,2405538,37.191666,-119.275002,2405538,37.1917,-119.275,WBM Input
1884,CA00432,1,1.627180309,0.765339124,0.867181944,-0.082477382,-0.199990306,0.999991115,-1.116124237,2402762,37.208332,-119.324997,2402762,37.2083,-119.325,WBM Input
1885,CA00432,2,2.058060575,0.887357186,0.752603948,-0.000331262,-0.079155834,1.000289571,-1.042881734,2402762,37.208332,-119.324997,2402762,37.2083,-119.325,WBM Input
1886,CA00432,3,2.361218306,1.088225552,0.783121992,-0.082320852,-0.199990443,1.105858803,-1.00333789,2402762,37.208332,-119.324997,2402762,37.2083,-119.325,WBM Input
1887,CA00432,4,3.205215216,1.117709523,0.319823814,-0.130751577,-0.254156662,1.001123762,-0.924621885,2402762,37.208332,-119.324997,2402762,37.2083,-119.325,WBM Input
1888,CA00432,5,2.886471506,1.258611896,0.340580244,-0.121659485,0.296341471,1.41571572,-1.043041451,2402762,37.208332,-119.324997,2402762,37.2083,-119.325,WBM Input
1889,CA00432,6,2.475211202,1.311330375,0.282630801,0.010638193,0.580898343,1.176191658,-1.088315368,2402762,37.208332,-119.324997,2402762,37.2083,-119.325,WBM Input
1890,CA00432,7,1.603973568,1.330324038,0.241100411,0.03187576,0.542390296,0.999970361,-1.047576564,2402762,37.208332,-119.324997,2402762,37.2083,-119.325,WBM Input
1891,CA00432,8,1.44799897,1.274844718,0.512088772,0.066549517,0.209461418,1.000329125,-1.00241782,2402762,37.208332,-119.324997,2402762,37.2083,-119.325,WBM Input
1892,CA00432,9,1.553237391,1.103000827,0.917017916,0.092906772,0.199924223,1.13531206,-0.991521334,2402762,37.208332,-119.324997,2402762,37.2083,-119.325,WBM Input
1893,CA00432,10,1.760587732,1.041663199,0.913412703,0.005319987,-0.173878732,1.215574816,-0.988063184,2402762,37.208332,-119.324997,2402762,37.2083,-119.325,WBM Input
1894,CA00432,11,1.781410204,0.992012595,1.0,-0.025227312,-0.199966422,1.213773585,-0.987784772,2402762,37.208332,-119.324997,2402762,37.2083,-119.325,WBM Input
1895,CA00432,12,1.758965505,0.81561556,1.0,0.015297241,-0.127460404,1.069273191,-0.998755608,2402762,37.208332,-119.324997,2402762,37.2083,-119.325,WBM Input
1896,CA00433,1,1.627180309,0.765339124,0.867181944,-0.082477382,-0.199990306,0.999991115,-1.116124237,2405094,37.275002,-118.958336,2405094,37.275,-118.9583,WBM Input
1897,CA00433,2,2.058060575,0.887357186,0.752603948,-0.000331262,-0.079155834,1.000289571,-1.042881734,2405094,37.275002,-118.958336,2405094,37.275,-118.9583,WBM Input
1898,CA00433,3,2.361218306,1.088225552,0.783121992,-0.082320852,-0.199990443,1.105858803,-1.00333789,2405094,37.275002,-118.958336,2405094,37.275,-118.9583,WBM Input
1899,CA00433,4,3.205215216,1.117709523,0.319823814,-0.130751577,-0.254156662,1.001123762,-0.924621885,2405094,37.275002,-118.958336,2405094,37.275,-118.9583,WBM Input
1900,CA00433,5,2.886471506,1.258611896,0.340580244,-0.121659485,0.296341471,1.41571572,-1.043041451,2405094,37.275002,-118.958336,2405094,37.275,-118.9583,WBM Input
1901,CA00433,6,2.475211202,1.311330375,0.282630801,0.010638193,0.580898343,1.176191658,-1.088315368,2405094,37.275002,-118.958336,2405094,37.275,-118.9583,WBM Input
1902,CA00433,7,1.603973568,1.330324038,0.241100411,0.03187576,0.542390296,0.999970361,-1.047576564,2405094,37.275002,-118.958336,2405094,37.275,-118.9583,WBM Input
1903,CA00433,8,1.44799897,1.274844718,0.512088772,0.066549517,0.209461418,1.000329125,-1.00241782,2405094,37.275002,-118.958336,2405094,37.275,-118.9583,WBM Input
1904,CA00433,9,1.553237391,1.103000827,0.917017916,0.092906772,0.199924223,1.13531206,-0.991521334,2405094,37.275002,-118.958336,2405094,37.275,-118.9583,WBM Input
1905,CA00433,10,1.760587732,1.041663199,0.913412703,0.005319987,-0.173878732,1.215574816,-0.988063184,2405094,37.275002,-118.958336,2405094,37.275,-118.9583,WBM Input
1906,CA00433,11,1.781410204,0.992012595,1.0,-0.025227312,-0.199966422,1.213773585,-0.987784772,2405094,37.275002,-118.958336,2405094,37.275,-118.9583,WBM Input
1907,CA00433,12,1.758965505,0.81561556,1.0,0.015297241,-0.127460404,1.069273191,-0.998755608,2405094,37.275002,-118.958336,2405094,37.275,-118.9583,WBM Input
1908,CA00434,1,1.627180309,0.765339124,0.867181944,-0.082477382,-0.199990306,0.999991115,-1.116124237,2406606,37.224998,-119.208336,2406606,37.225,-119.2083,WBM Input
1909,CA00434,2,2.058060575,0.887357186,0.752603948,-0.000331262,-0.079155834,1.000289571,-1.042881734,2406606,37.224998,-119.208336,2406606,37.225,-119.2083,WBM Input
1910,CA00434,3,2.361218306,1.088225552,0.783121992,-0.082320852,-0.199990443,1.105858803,-1.00333789,2406606,37.224998,-119.208336,2406606,37.225,-119.2083,WBM Input
1911,CA00434,4,3.205215216,1.117709523,0.319823814,-0.130751577,-0.254156662,1.001123762,-0.924621885,2406606,37.224998,-119.208336,2406606,37.225,-119.2083,WBM Input
1912,CA00434,5,2.886471506,1.258611896,0.340580244,-0.121659485,0.296341471,1.41571572,-1.043041451,2406606,37.224998,-119.208336,2406606,37.225,-119.2083,WBM Input
1913,CA00434,6,2.475211202,1.311330375,0.282630801,0.010638193,0.580898343,1.176191658,-1.088315368,2406606,37.224998,-119.208336,2406606,37.225,-119.2083,WBM Input
1914,CA00434,7,1.603973568,1.330324038,0.241100411,0.03187576,0.542390296,0.999970361,-1.047576564,2406606,37.224998,-119.208336,2406606,37.225,-119.2083,WBM Input
1915,CA00434,8,1.44799897,1.274844718,0.512088772,0.066549517,0.209461418,1.000329125,-1.00241782,2406606,37.224998,-119.208336,2406606,37.225,-119.2083,WBM Input
1916,CA00434,9,1.553237391,1.103000827,0.917017916,0.092906772,0.199924223,1.13531206,-0.991521334,2406606,37.224998,-119.208336,2406606,37.225,-119.2083,WBM Input
1917,CA00434,10,1.760587732,1.041663199,0.913412703,0.005319987,-0.173878732,1.215574816,-0.988063184,2406606,37.224998,-119.208336,2406606,37.225,-119.2083,WBM Input
1918,CA00434,11,1.781410204,0.992012595,1.0,-0.025227312,-0.199966422,1.213773585,-0.987784772,2406606,37.224998,-119.208336,2406606,37.225,-119.2083,WBM Input
1919,CA00434,12,1.758965505,0.81561556,1.0,0.015297241,-0.127460404,1.069273191,-0.998755608,2406606,37.224998,-119.208336,2406606,37.225,-119.2083,WBM Input
1920,CA00437,1,1.627180309,0.765339124,0.867181944,-0.082477382,-0.199990306,0.999991115,-1.116124237,2410132,37.141666,-119.291664,2410132,37.1417,-119.2917,WBM Input
1921,CA00437,2,2.058060575,0.887357186,0.752603948,-0.000331262,-0.079155834,1.000289571,-1.042881734,2410132,37.141666,-119.291664,2410132,37.1417,-119.2917,WBM Input
1922,CA00437,3,2.361218306,1.088225552,0.783121992,-0.082320852,-0.199990443,1.105858803,-1.00333789,2410132,37.141666,-119.291664,2410132,37.1417,-119.2917,WBM Input
1923,CA00437,4,3.205215216,1.117709523,0.319823814,-0.130751577,-0.254156662,1.001123762,-0.924621885,2410132,37.141666,-119.291664,2410132,37.1417,-119.2917,WBM Input
1924,CA00437,5,2.886471506,1.258611896,0.340580244,-0.121659485,0.296341471,1.41571572,-1.043041451,2410132,37.141666,-119.291664,2410132,37.1417,-119.2917,WBM Input
1925,CA00437,6,2.475211202,1.311330375,0.282630801,0.010638193,0.580898343,1.176191658,-1.088315368,2410132,37.141666,-119.291664,2410132,37.1417,-119.2917,WBM Input
1926,CA00437,7,1.603973568,1.330324038,0.241100411,0.03187576,0.542390296,0.999970361,-1.047576564,2410132,37.141666,-119.291664,2410132,37.1417,-119.2917,WBM Input
1927,CA00437,8,1.44799897,1.274844718,0.512088772,0.066549517,0.209461418,1.000329125,-1.00241782,2410132,37.141666,-119.291664,2410132,37.1417,-119.2917,WBM Input
1928,CA00437,9,1.553237391,1.103000827,0.917017916,0.092906772,0.199924223,1.13531206,-0.991521334,2410132,37.141666,-119.291664,2410132,37.1417,-119.2917,WBM Input
1929,CA00437,10,1.760587732,1.041663199,0.913412703,0.005319987,-0.173878732,1.215574816,-0.988063184,2410132,37.141666,-119.291664,2410132,37.1417,-119.2917,WBM Input
1930,CA00437,11,1.781410204,0.992012595,1.0,-0.025227312,-0.199966422,1.213773585,-0.987784772,2410132,37.141666,-119.291664,2410132,37.1417,-119.2917,WBM Input
1931,CA00437,12,1.758965505,0.81561556,1.0,0.015297241,-0.127460404,1.069273191,-0.998755608,2410132,37.141666,-119.291664,2410132,37.1417,-119.2917,WBM Input
1932,CA00440,1,1.627180309,0.765339124,0.867181944,-0.082477382,-0.199990306,0.999991115,-1.116124237,2402687,37.141666,-119.458336,2402687,37.1417,-119.4583,WBM Input
1933,CA00440,2,2.058060575,0.887357186,0.752603948,-0.000331262,-0.079155834,1.000289571,-1.042881734,2402687,37.141666,-119.458336,2402687,37.1417,-119.4583,WBM Input
1934,CA00440,3,2.361218306,1.088225552,0.783121992,-0.082320852,-0.199990443,1.105858803,-1.00333789,2402687,37.141666,-119.458336,2402687,37.1417,-119.4583,WBM Input
1935,CA00440,4,3.205215216,1.117709523,0.319823814,-0.130751577,-0.254156662,1.001123762,-0.924621885,2402687,37.141666,-119.458336,2402687,37.1417,-119.4583,WBM Input
1936,CA00440,5,2.886471506,1.258611896,0.340580244,-0.121659485,0.296341471,1.41571572,-1.043041451,2402687,37.141666,-119.458336,2402687,37.1417,-119.4583,WBM Input
1937,CA00440,6,2.475211202,1.311330375,0.282630801,0.010638193,0.580898343,1.176191658,-1.088315368,2402687,37.141666,-119.458336,2402687,37.1417,-119.4583,WBM Input
1938,CA00440,7,1.603973568,1.330324038,0.241100411,0.03187576,0.542390296,0.999970361,-1.047576564,2402687,37.141666,-119.458336,2402687,37.1417,-119.4583,WBM Input
1939,CA00440,8,1.44799897,1.274844718,0.512088772,0.066549517,0.209461418,1.000329125,-1.00241782,2402687,37.141666,-119.458336,2402687,37.1417,-119.4583,WBM Input
1940,CA00440,9,1.553237391,1.103000827,0.917017916,0.092906772,0.199924223,1.13531206,-0.991521334,2402687,37.141666,-119.458336,2402687,37.1417,-119.4583,WBM Input
1941,CA00440,10,1.760587732,1.041663199,0.913412703,0.005319987,-0.173878732,1.215574816,-0.988063184,2402687,37.141666,-119.458336,2402687,37.1417,-119.4583,WBM Input
1942,CA00440,11,1.781410204,0.992012595,1.0,-0.025227312,-0.199966422,1.213773585,-0.987784772,2402687,37.141666,-119.458336,2402687,37.1417,-119.4583,WBM Input
1943,CA00440,12,1.758965505,0.81561556,1.0,0.015297241,-0.127460404,1.069273191,-0.998755608,2402687,37.141666,-119.458336,2402687,37.1417,-119.4583,WBM Input
1944,CA00441,1,1.627180309,0.765339124,0.867181944,-0.082477382,-0.199990306,0.999991115,-1.116124237,2406350,37.375,-118.991669,2406350,37.375,-118.9917,WBM Input
1945,CA00441,2,2.058060575,0.887357186,0.752603948,-0.000331262,-0.079155834,1.000289571,-1.042881734,2406350,37.375,-118.991669,2406350,37.375,-118.9917,WBM Input
1946,CA00441,3,2.361218306,1.088225552,0.783121992,-0.082320852,-0.199990443,1.105858803,-1.00333789,2406350,37.375,-118.991669,2406350,37.375,-118.9917,WBM Input
1947,CA00441,4,3.205215216,1.117709523,0.319823814,-0.130751577,-0.254156662,1.001123762,-0.924621885,2406350,37.375,-118.991669,2406350,37.375,-118.9917,WBM Input
1948,CA00441,5,2.886471506,1.258611896,0.340580244,-0.121659485,0.296341471,1.41571572,-1.043041451,2406350,37.375,-118.991669,2406350,37.375,-118.9917,WBM Input
1949,CA00441,6,2.475211202,1.311330375,0.282630801,0.010638193,0.580898343,1.176191658,-1.088315368,2406350,37.375,-118.991669,2406350,37.375,-118.9917,WBM Input
1950,CA00441,7,1.603973568,1.330324038,0.241100411,0.03187576,0.542390296,0.999970361,-1.047576564,2406350,37.375,-118.991669,2406350,37.375,-118.9917,WBM Input
1951,CA00441,8,1.44799897,1.274844718,0.512088772,0.066549517,0.209461418,1.000329125,-1.00241782,2406350,37.375,-118.991669,2406350,37.375,-118.9917,WBM Input
1952,CA00441,9,1.553237391,1.103000827,0.917017916,0.092906772,0.199924223,1.13531206,-0.991521334,2406350,37.375,-118.991669,2406350,37.375,-118.9917,WBM Input
1953,CA00441,10,1.760587732,1.041663199,0.913412703,0.005319987,-0.173878732,1.215574816,-0.988063184,2406350,37.375,-118.991669,2406350,37.375,-118.9917,WBM Input
1954,CA00441,11,1.781410204,0.992012595,1.0,-0.025227312,-0.199966422,1.213773585,-0.987784772,2406350,37.375,-118.991669,2406350,37.375,-118.9917,WBM Input
1955,CA00441,12,1.758965505,0.81561556,1.0,0.015297241,-0.127460404,1.069273191,-0.998755608,2406350,37.375,-118.991669,2406350,37.375,-118.9917,WBM Input
1956,CA00443,1,1.627180309,0.765339124,0.867181944,-0.082477382,-0.199990306,0.999991115,-1.116124237,2402936,37.325001,-119.324997,2402936,37.325,-119.325,WBM Input
1957,CA00443,2,2.058060575,0.887357186,0.752603948,-0.000331262,-0.079155834,1.000289571,-1.042881734,2402936,37.325001,-119.324997,2402936,37.325,-119.325,WBM Input
1958,CA00443,3,2.361218306,1.088225552,0.783121992,-0.082320852,-0.199990443,1.105858803,-1.00333789,2402936,37.325001,-119.324997,2402936,37.325,-119.325,WBM Input
1959,CA00443,4,3.205215216,1.117709523,0.319823814,-0.130751577,-0.254156662,1.001123762,-0.924621885,2402936,37.325001,-119.324997,2402936,37.325,-119.325,WBM Input
1960,CA00443,5,2.886471506,1.258611896,0.340580244,-0.121659485,0.296341471,1.41571572,-1.043041451,2402936,37.325001,-119.324997,2402936,37.325,-119.325,WBM Input
1961,CA00443,6,2.475211202,1.311330375,0.282630801,0.010638193,0.580898343,1.176191658,-1.088315368,2402936,37.325001,-119.324997,2402936,37.325,-119.325,WBM Input
1962,CA00443,7,1.603973568,1.330324038,0.241100411,0.03187576,0.542390296,0.999970361,-1.047576564,2402936,37.325001,-119.324997,2402936,37.325,-119.325,WBM Input
1963,CA00443,8,1.44799897,1.274844718,0.512088772,0.066549517,0.209461418,1.000329125,-1.00241782,2402936,37.325001,-119.324997,2402936,37.325,-119.325,WBM Input
1964,CA00443,9,1.553237391,1.103000827,0.917017916,0.092906772,0.199924223,1.13531206,-0.991521334,2402936,37.325001,-119.324997,2402936,37.325,-119.325,WBM Input
1965,CA00443,10,1.760587732,1.041663199,0.913412703,0.005319987,-0.173878732,1.215574816,-0.988063184,2402936,37.325001,-119.324997,2402936,37.325,-119.325,WBM Input
1966,CA00443,11,1.781410204,0.992012595,1.0,-0.025227312,-0.199966422,1.213773585,-0.987784772,2402936,37.325001,-119.324997,2402936,37.325,-119.325,WBM Input
1967,CA00443,12,1.758965505,0.81561556,1.0,0.015297241,-0.127460404,1.069273191,-0.998755608,2402936,37.325001,-119.324997,2402936,37.325,-119.325,WBM Input
1968,CA00805,1,2.954465518043094,0.0127046057975534,0.4779019894536743,-0.06663735050909,2.166069099991568,4.999999706194289,-0.8627219088684557,3231213,34.458332,-118.758331,3231213,34.4583,-118.7583,WBM Input
1969,CA00805,2,1.973297087493006,0.0012882023040294,0.6370214549254449,-0.1136858580272601,0.0163861813963245,3.900025187573173,-0.3991008587345755,3231213,34.458332,-118.758331,3231213,34.4583,-118.7583,WBM Input
1970,CA00805,3,3.184676753973491,0.0628282768383823,1.7007729682399204,-0.0695853626162139,2.1201396955654914,4.999999366435766,-1.6571486021095925,3231213,34.458332,-118.758331,3231213,34.4583,-118.7583,WBM Input
1971,CA00805,4,1.1795502491205954,0.1914406613282565,-0.3644622817919322,0.1539241985693664,0.2604032743471323,-4.999999603356018,-0.6841237877732539,3231213,34.458332,-118.758331,3231213,34.4583,-118.7583,WBM Input
1972,CA00805,5,2.231420096159238,1.2447568965965812,0.3451033787048994,-0.1999895263512141,4.999998856938524,4.999999589781556,-1.1034609394152195,3231213,34.458332,-118.758331,3231213,34.4583,-118.7583,WBM Input
1973,CA00805,6,0.4244506033531761,1.2102242254935216,-0.5436603043120406,4.784833333529674,4.999997365961832,-0.2089799278676919,-1.8139616920117048,3231213,34.458332,-118.758331,3231213,34.4583,-118.7583,WBM Input
1974,CA00805,7,1.6556112855733824,1.2408686445233696,1.401980010060177,1.1047885054271207,1.2730074173048131,4.999951622390921,-1.7918536862965373,3231213,34.458332,-118.758331,3231213,34.4583,-118.7583,WBM Input
1975,CA00805,8,0.1578513862106795,1.3104631174007724,-0.471512570081896,0.0398691998191393,-0.2949739116612564,-2.091239856049536,-1.4651760162745509,3231213,34.458332,-118.758331,3231213,34.4583,-118.7583,WBM Input
1976,CA00805,9,0.0306132281532441,4.24524498298437,-0.4633724459411681,0.1200719975238968,-0.9999667820901604,0.8075452062487196,-0.3965496195766126,3231213,34.458332,-118.758331,3231213,34.4583,-118.7583,WBM Input
1977,CA00805,10,0.0423012898657619,0.7532519017369872,0.0230826994602584,0.0906253125443649,0.1026417365062684,4.999984649194616,-1.287510620135926,3231213,34.458332,-118.758331,3231213,34.4583,-118.7583,WBM Input
1978,CA00805,11,0.608060412526534,1.1851881830038982,0.8452278019303359,1.2987797659398186,-0.1999857384074475,4.999999206914238,-3.021714857475916,3231213,34.458332,-118.758331,3231213,34.4583,-118.7583,WBM Input
1979,CA00805,12,0.3636023079586751,-0.0041759310599809,2.654749689367531,-0.5426645283023833,-0.35956386448275,0.5090245830640009,-0.7399107908153344,3231213,34.458332,-118.758331,3231213,34.4583,-118.7583,WBM Input
1980,CA00812,1,1.627180309,0.765339124,0.867181944,-0.082477382,-0.199990306,0.999991115,-1.116124237,3146766,35.758335,-120.89167,3146766,35.7583,-120.8917,WBM Input
1981,CA00812,2,2.058060575,0.887357186,0.752603948,-0.000331262,-0.079155834,1.000289571,-1.042881734,3146766,35.758335,-120.89167,3146766,35.7583,-120.8917,WBM Input
1982,CA00812,3,2.361218306,1.088225552,0.783121992,-0.082320852,-0.199990443,1.105858803,-1.00333789,3146766,35.758335,-120.89167,3146766,35.7583,-120.8917,WBM Input
1983,CA00812,4,3.205215216,1.117709523,0.319823814,-0.130751577,-0.254156662,1.001123762,-0.924621885,3146766,35.758335,-120.89167,3146766,35.7583,-120.8917,WBM Input
1984,CA00812,5,2.886471506,1.258611896,0.340580244,-0.121659485,0.296341471,1.41571572,-1.043041451,3146766,35.758335,-120.89167,3146766,35.7583,-120.8917,WBM Input
1985,CA00812,6,2.475211202,1.311330375,0.282630801,0.010638193,0.580898343,1.176191658,-1.088315368,3146766,35.758335,-120.89167,3146766,35.7583,-120.8917,WBM Input
1986,CA00812,7,1.603973568,1.330324038,0.241100411,0.03187576,0.542390296,0.999970361,-1.047576564,3146766,35.758335,-120.89167,3146766,35.7583,-120.8917,WBM Input
1987,CA00812,8,1.44799897,1.274844718,0.512088772,0.066549517,0.209461418,1.000329125,-1.00241782,3146766,35.758335,-120.89167,3146766,35.7583,-120.8917,WBM Input
1988,CA00812,9,1.553237391,1.103000827,0.917017916,0.092906772,0.199924223,1.13531206,-0.991521334,3146766,35.758335,-120.89167,3146766,35.7583,-120.8917,WBM Input
1989,CA00812,10,1.760587732,1.041663199,0.913412703,0.005319987,-0.173878732,1.215574816,-0.988063184,3146766,35.758335,-120.89167,3146766,35.7583,-120.8917,WBM Input
1990,CA00812,11,1.781410204,0.992012595,1.0,-0.025227312,-0.199966422,1.213773585,-0.987784772,3146766,35.758335,-120.89167,3146766,35.7583,-120.8917,WBM Input
1991,CA00812,12,1.758965505,0.81561556,1.0,0.015297241,-0.127460404,1.069273191,-0.998755608,3146766,35.758335,-120.89167,3146766,35.7583,-120.8917,WBM Input
1992,CA00814,1,0.8593083541242468,-0.0306180792137602,1.0,2.125741275420305,2.5831000700242197,3.127331923198581,-0.6177735663369478,2410350,38.825001,-120.375,2410350,38.825,-120.375,WBM Input
1993,CA00814,2,2.5122790003416675,2.373474901505879,1.0,0.4557550288166251,4.99999873592806,4.999998125454998,-1.2963711026906148,2410350,38.825001,-120.375,2410350,38.825,-120.375,WBM Input
1994,CA00814,3,1.2647131448804276,1.3595638227693174,1.0,0.6649350594700513,3.061045569767683,-1.503885710730816,-1.7407149437277996,2410350,38.825001,-120.375,2410350,38.825,-120.375,WBM Input
1995,CA00814,4,2.03473081781912,0.8018756818571596,-0.2468757304971481,0.2290765652764404,-0.2468776584897532,4.050586074822325,-0.4335312154718283,2410350,38.825001,-120.375,2410350,38.825,-120.375,WBM Input
1996,CA00814,5,8.294683995359621,0.983143148388936,4.999994441934842,-0.4537918203219935,-0.4537937948762769,2.2036391207597883,-2.208793660708275,2410350,38.825001,-120.375,2410350,38.825,-120.375,WBM Input
1997,CA00814,6,7.2921200171806975,1.3992021133579051,1.6539510766512062,-0.6696204823094388,1.0,4.084647444668084,-1.7048697354470357,2410350,38.825001,-120.375,2410350,38.825,-120.375,WBM Input
1998,CA00814,7,0.9968041749730644,0.916658487543792,2.411941812620843,1.6148438233163265,1.0,1.090495320977694,-1.4452358932174798,2410350,38.825001,-120.375,2410350,38.825,-120.375,WBM Input
1999,CA00814,8,0.2049101465347944,4.999999855616214,0.850638313608803,2.79779355669098,1.0,1.899303576809534,-1.9803300544160345,2410350,38.825001,-120.375,2410350,38.825,-120.375,WBM Input
2000,CA00814,9,0.170404515068615,-4.999999587321549,1.0,2.7770442890461258,1.0,1.8919747755194452,-1.230609585731283,2410350,38.825001,-120.375,2410350,38.825,-120.375,WBM Input
2001,CA00814,10,0.6629224580773418,1.5789387962261618,1.0,2.304645201254357,1.9102506203186775,-0.4338985701543046,-1.014849760636793,2410350,38.825001,-120.375,2410350,38.825,-120.375,WBM Input
