,NIDID,cell_id,cell_id_orig,lat,lat_orig,lon,lon_orig,res_capacity,storage_ratio,storage_ratio_25th,storage_ratio_75th,parameter_type,WBM_Decision,ror_type,,*res_capacity is maximum storage in acre-feet
187,CA10108,2346527,2346527,39.325001,39.325,-120.125,-120.125,20400,1,0.038428829,0.04009792,calibrated,WBM Input,Unknown,,
188,CA10109,2404056,2404056,38.158333,38.1583,-120.808334,-120.8083,317100,1,0.39518139,0.609158521,calibrated,WBM Input,Unknown,,
189,CA10112,2402615,2402615,36.841667,36.8417,-119.324997,-119.325,1000000,1,0.249379408,0.651406567,calibrated,WBM Input,Unknown,,
190,CA10113,2403974,2403974,36.058334,36.0583,-118.925003,-118.925,82300,0.079465371,0.09469099,0.462611945,calibrated,WBM Input,Unknown,,
191,CA10114,2403527,2403527,36.408333,36.4083,-119.008331,-119.0083,143000,1,0.095294248,0.533339381,calibrated,WBM Input,Unknown,,
192,CA10135,2342320,2342320,39.408333,39.4083,-120.091667,-120.0917,40870,0.804257402,0.320318242,0.785003594,calibrated,WBM Input,Unknown,,
193,CA10136,3264704,3264704,34.591667,34.5917,-119.974998,-119.975,206900,0.833736104,0.363792883,0.842177154,calibrated,WBM Input,Unknown,,
194,CA10139,3315540,3315540,34.358334,34.3583,-119.324997,-119.325,283727,0.88407166,0.221017915,0.663053745,avge,WBM Input,Unknown,,
195,CA10141,2872185,2872185,41.924999,41.925,-121.074997,-121.075,584050,0.640493108,0.160123277,0.480369831,avge,WBM Input,Unknown,,
196,CA10144,2416649,2416649,41.491665,41.4917,-120.491669,-120.4917,20690,0.573707105,0.143426776,0.430280329,avge,WBM Input,Unknown,,
197,CA10145,2406386,2406386,39.358334,39.3583,-122.508331,-122.5083,54300,0.931860037,0.232965009,0.698895028,avge,WBM Input,Unknown,,
198,CA10148,2402491,2402491,38.708332,38.7083,-121.158333,-121.1583,1002000,0.892215569,0.400401669,0.692351009,calibrated,WBM Input,Intermediate Peaking,,
199,CA10154,2402566,2402566,36.991665,36.9917,-119.708336,-119.7083,520500,1,0.454164033,0.783424002,calibrated,"No WBM Input, Hydro",Canal/Conduit,,
200,CA10160,2402052,2402052,40.608334,40.6083,-122.441666,-122.4417,25132,0.297230622,0.074307656,0.222922967,avge,WBM Input,Intermediate Peaking,,
201,CA10162,2341111,2341111,39.158333,39.1583,-120.14167,-120.1417,732000,1,0.25,0.75,avge,WBM Input,Unknown,,
202,CA10165,2872187,2872187,40.741665,40.7417,-122.808334,-122.8083,14660,1,0.25,0.75,avge,"No WBM Input, Hydro",ROR,,
203,CA10167,2405070,2405070,36.991665,36.9917,-120.958336,-120.9583,51920,0.664483821,0.166120955,0.498362866,avge,WBM Input,Unknown,,
204,CA10170,2403508,2403508,38.508335,38.5083,-122.10833,-122.1083,1902086,0.842379367,0.635484702,0.791393203,calibrated,WBM Input,Unknown,,
205,CA10186,2402059,2402059,40.724998,40.725,-122.425003,-122.425,4661860,0.976453604,0.495064842,0.792865989,calibrated,WBM Input,Peaking,,
206,CA10190,2411665,2411665,40.641666,40.6417,-122.491669,-122.4917,7286,0.806203678,0.20155092,0.604652759,avge,WBM Input,Peaking,,
207,CA10194,2404254,2404254,39.558334,39.5583,-122.525002,-122.525,58500,0.861196581,0.215299145,0.645897436,avge,WBM Input,Unknown,,
208,CA10196,2872195,2872195,40.808334,40.8083,-122.758331,-122.7583,2760870,0.886550254,0.543341357,0.765775839,calibrated,WBM Input,Peaking,,
209,CA10197,3222329,3222329,34.991665,34.9917,-120.324997,-120.325,398120,0.379408219,0.094852055,0.284556164,avge,WBM Input,Unknown,,
210,CA10201,3237252,3237252,39.208332,39.2083,-123.175003,-123.175,155500,0.479099678,0.347892503,0.529416595,calibrated,WBM Input,Unknown,,
211,CA10202,3146903,3146903,35.341667,35.3417,-120.491669,-120.4917,43200,0.601851852,0.150462963,0.451388889,avge,WBM Input,Unknown,,
212,CA10204,2404851,2404851,40.591667,40.5917,-122.541664,-122.5417,276117,0.873166085,0.747352421,0.860523577,calibrated,WBM Input,Unknown,,
213,CA10243,2404732,2404732,37.224998,37.225,-119.974998,-119.975,150000,0.7,0.190337117,0.74166464,calibrated,WBM Input,Unknown,,
214,CA10244,2404611,2404611,37.125,37.125,-119.875,-119.875,90000,1,0.192766743,0.526784669,calibrated,WBM Input,Unknown,,
215,CA10246,2403012,2403012,37.958332,37.9583,-120.525002,-120.525,2870000,0.947735192,0.442948523,0.688524552,calibrated,WBM Input,Peaking,,
216,CA10303,3237261,3237261,38.724998,38.725,-123.008331,-123.0083,449000,0.545657016,0.466902534,0.546056272,calibrated,WBM Input,Unknown,,
217,CO00004,60043,60043,39.658333,39.6583,-105.14167,-105.1417,75000,0.026666667,0.006666667,0.02,avge,WBM Input,Unknown,,
218,CO00009,253871,253871,40.291668,40.2917,-104.175003,-104.175,50900,0.74086444,0.18521611,0.55564833,avge,WBM Input,Unknown,,
219,CO00012,179738,179738,40.008335,40.0083,-104.574997,-104.575,29739,0.522445274,0.130611318,0.391833955,avge,WBM Input,Unknown,,
220,CO00050,38501,38501,37.141666,37.1417,-104.558334,-104.5583,164930,0.435208876,0.083653182,0.148608083,calibrated,WBM Input,Unknown,,
221,CO00101,206237,206237,39.858334,39.8583,-105.125,-105.125,54740,0.791815857,0.197953964,0.593861893,avge,WBM Input,Unknown,,
222,CO00112,78646,78646,40.325001,40.325,-104.241669,-104.2417,94500,0.669862434,0.167465608,0.502396825,avge,WBM Input,Unknown,,
223,CO00129,332840,332840,40.658333,40.6583,-104.974998,-104.975,28200,0.790780142,0.197695035,0.593085106,avge,WBM Input,Unknown,,
224,CO00151,2105050,2105050,38.808334,38.8083,-106.625,-106.625,111280,0.954574047,0.572619687,0.752178942,calibrated,WBM Input,Unknown,,
225,CO00171,88929,88929,40.224998,40.225,-105.35833,-105.3583,20400,0.788235294,0.197058824,0.591176471,avge,WBM Input,Unknown,,
226,CO00247,90865,90865,39.941666,39.9417,-105.35833,-105.3583,46200,0.887445887,0.551417236,0.823625098,calibrated,WBM Input,Peaking,,
227,CO00384,50843,50843,40.775002,40.775,-103.258331,-103.2583,113600,0.656602113,0.164150528,0.492451585,avge,WBM Input,Unknown,,
228,CO00515,88243,88243,38.275002,38.275,-103.224998,-103.225,85000,0.909870588,0.227467647,0.682402941,avge,WBM Input,Unknown,,
229,CO00556,2113115,2113115,38.708332,38.7083,-107.591667,-107.5917,23970,0.600542345,0.187793856,0.408140902,calibrated,WBM Input,Unknown,,
230,CO00673,2148523,2148523,39.341667,39.3417,-106.474998,-106.475,45500,0.942857143,0.235714286,0.707142857,avge,WBM Input,Unknown,,
231,CO00767,1886199,1886199,37.891666,37.8917,-107.191666,-107.1917,30707,0.743315856,0.185828964,0.557486892,avge,WBM Input,Unknown,,
232,CO00780,1922362,1922362,37.808334,37.8083,-107.091667,-107.0917,49400,0.887165992,0.221791498,0.665374494,avge,WBM Input,Unknown,,
233,CO00790,1881323,1881323,37.125,37.125,-105.39167,-105.3917,137850,0.764185709,0.191046427,0.573139282,avge,WBM Input,Unknown,,
234,CO00805,1876282,1876282,37.724998,37.725,-107.275002,-107.275,73800,0.732818428,0.183204607,0.549613821,avge,WBM Input,Unknown,,
235,CO00818,1882367,1882367,37.391666,37.3917,-105.39167,-105.3917,26230,0.684864659,0.171216165,0.513648494,avge,WBM Input,Unknown,,
236,CO00875,2104286,2104286,39.608334,39.6083,-106.058334,-106.0583,305000,0.832904918,0.729235083,0.817806189,calibrated,WBM Input,Unknown,,
237,CO00895,2137818,2137818,37.541668,37.5417,-107.808334,-107.8083,22500,0.977777778,0.244444444,0.733333333,avge,WBM Input,Peaking,,
238,CO00976,2106170,2106170,40.558334,40.5583,-107.375,-107.375,37190,0.666254369,0.166563592,0.499690777,avge,WBM Input,Unknown,,
239,CO01046,89439,89439,38.141666,38.1417,-103.408333,-103.4083,43125,0.666573913,0.166643478,0.499930435,avge,WBM Input,Unknown,,
240,CO01089,2136358,2136358,37.474998,37.475,-108.625,-108.625,22700,0.835242291,0.208810573,0.626431718,avge,WBM Input,Unknown,,
241,CO01146,38511,38511,37.758335,37.7583,-104.591667,-104.5917,64820,0.114378278,0.02859457,0.085783709,avge,WBM Input,Unknown,,
242,CO01280,49135,49135,39.641666,39.6417,-104.85833,-104.8583,134470,0.103814977,0.089335697,0.097547009,calibrated,WBM Input,Unknown,,
243,CO01300,24181,24181,39.625,39.625,-102.158333,-102.1583,348390,0.118665863,0.094153646,0.112158758,calibrated,WBM Input,Unknown,,
244,CO01650,266673,266673,40.325001,40.325,-105.191666,-105.1917,116837,0.96055188,0.53061045,0.897518738,calibrated,WBM Input,Unknown,,
245,CO01658,2101923,2101923,39.875,39.875,-106.324997,-106.325,161850,0.949274019,0.443463856,0.786335138,calibrated,WBM Input,Intermediate Peaking,,
246,CO01662,70934,70934,40.375,40.375,-105.491669,-105.4917,3068,1,0.25,0.75,avge,WBM Input,Intermediate Peaking,,
247,CO01671,1888514,1888514,37.341667,37.3417,-106.558334,-106.5583,73317,0.729789817,0.226987948,0.323503162,calibrated,WBM Input,Unknown,,
248,CO01688,2114798,2114798,37.375,37.375,-107.658333,-107.6583,487660,0.08232375,0.03216763,0.060080268,calibrated,WBM Input,Unknown,,
249,CO01689,2097935,2097935,38.441666,38.4417,-107.508331,-107.5083,121275,0.966316223,0.911040369,0.943187657,calibrated,"No WBM Input, Hydro",ROR,,
250,CO01691,2105182,2105182,38.958332,38.9583,-107.341667,-107.3417,23230,0.75165734,0.078382911,0.483454348,calibrated,WBM Input,Unknown,,
251,CO01695,2104894,2104894,37.375,37.375,-107.574997,-107.575,136200,0.952276065,0.343798046,0.622567375,calibrated,WBM Input,Unknown,,
252,CO01697,2123678,2123678,39.224998,39.225,-107.775002,-107.775,38102,0.865571361,0.21639284,0.649178521,avge,WBM Input,Unknown,,
253,CO01797,254719,254719,40.958332,40.9583,-102.64167,-102.6417,38600,0.704300518,0.17607513,0.528225389,avge,WBM Input,Unknown,,
254,CO01836,52425,52425,38.158333,38.1583,-103.758331,-103.7583,41413,0.961147466,0.240286866,0.720860599,avge,WBM Input,Unknown,,
255,CO01837,95345,95345,37.924999,37.925,-103.658333,-103.6583,24047,0.291013432,0.072753358,0.218260074,avge,WBM Input,Unknown,,
256,CO01888,147895,147895,39.941666,39.9417,-104.758331,-104.7583,47000,0.639510638,0.15987766,0.479632979,avge,WBM Input,Unknown,,
257,CO01899,73617,73617,40.241665,40.2417,-104.64167,-104.6417,44650,0.485890258,0.121472564,0.364417693,avge,WBM Input,Unknown,,
258,CO01994,98812,98812,40.041668,40.0417,-103.875,-103.875,23500,0.08187234,0.020468085,0.061404255,avge,WBM Input,Unknown,,
259,CO02024,41459,41459,38.325001,38.325,-102.675003,-102.675,60618,1,0.25,0.75,avge,WBM Input,Unknown,,
260,CO02026,40819,40819,38.275002,38.275,-102.64167,-102.6417,32690,0.704802692,0.176200673,0.528602019,avge,WBM Input,Unknown,,
261,CO02045,86382,86382,39.075001,39.075,-106.324997,-106.325,147500,0.955932203,0.238983051,0.716949153,avge,WBM Input,Unknown,,
262,CO02667,192647,192647,40.858334,40.8583,-105.008331,-105.0083,20245,0.76068165,0.190170412,0.570511237,avge,WBM Input,Unknown,,
263,CO02706,2105033,2105033,38.208332,38.2083,-107.741669,-107.7417,89230,0.945982293,0.236495573,0.70948672,avge,WBM Input,Unknown,,
264,CO02709,300990,300990,39.625,39.625,-104.675003,-104.675,40400,0.801980198,0.20049505,0.601485149,avge,WBM Input,Unknown,,
265,CT00020,3339429,3339429,41.224998,41.225,-73.258331,-73.2583,36000,1,0.25,0.75,avge,WBM Input,Unknown,,
266,CT00023,3216789,3216789,41.391666,41.3917,-73.175003,-73.175,26500,0.88754717,0.221886792,0.665660377,avge,WBM Input,Peaking,,
267,CT00108,3332609,3332609,41.258335,41.2583,-73.35833,-73.3583,42000,0.876190476,0.219047619,0.657142857,avge,WBM Input,Unknown,,
268,CT00232,3216797,3216797,41.458332,41.4583,-73.291664,-73.2917,74630,0.893742463,0.223435616,0.670306847,avge,WBM Input,Peaking,,
269,CT00370,2956499,2956499,41.82497,41.825,-72.95826,-72.9583,40540,0.72274297,0.180685742,0.542057227,avge,WBM Input,Unknown,,
270,CT00376,2956034,2956034,41.924999,41.925,-72.958336,-72.9583,97458,0.95538591,0.238846477,0.716539432,avge,WBM Input,Unknown,,
271,CT00387,3348067,3348067,41.325001,41.325,-72.758331,-72.7583,53500,0.897196262,0.224299065,0.672897196,avge,WBM Input,Unknown,,
272,CT00501,3216915,3216915,41.691666,41.6917,-73.058334,-73.0583,63000,1.59E-05,3.97E-06,1.19E-05,avge,WBM Input,Unknown,,
273,CT00502,3240044,3240044,41.958332,41.9583,-71.908333,-71.9083,47800,0.025104603,0.006276151,0.018828452,avge,WBM Input,Unknown,,
274,CT00504,3217076,3217076,41.508335,41.5083,-73.058334,-73.0583,23000,0.005217391,0.001304348,0.003913043,avge,WBM Input,Unknown,,
275,CT00506,2955694,2955694,42.008335,42.0083,-73.041664,-73.0417,134000,0.354477612,0.16805716,0.339623326,calibrated,WBM Input,Unknown,,
276,FL00108,3208542,3208542,30.391666,30.3917,-84.64167,-84.6417,165000,0.909090909,0.227272727,0.681818182,avge,WBM Input,Unknown,,
277,FL00262,3015590,3015590,28.358334,28.3583,-80.925003,-80.925,84000,0.357142857,0.089285714,0.267857143,avge,WBM Input,Unknown,,
278,FL00264,3016609,3016609,28.275,28.275,-80.925003,-80.925,84000,0.357142857,0.089285714,0.267857143,avge,WBM Input,Unknown,,
279,FL00265,3101097,3101097,28.241667,28.2417,-81.341667,-81.3417,208000,0.625,0.15625,0.46875,avge,WBM Input,Unknown,,
280,FL00266,3015976,3015976,28.258333,28.2583,-81.175003,-81.175,73000,0.589041096,0.147260274,0.441780822,avge,WBM Input,Unknown,,
281,FL00267,3101550,3101550,28.174999,28.175,-81.191666,-81.1917,73000,0.589041096,0.147260274,0.441780822,avge,WBM Input,Unknown,,
282,FL00268,3100977,3100977,28.141666,28.1417,-81.35833,-81.3583,279000,0.516129032,0.129032258,0.387096774,avge,WBM Input,Unknown,,
283,FL00269,3101171,3101171,28.108334,28.1083,-81.258331,-81.2583,37000,0.459459459,0.114864865,0.344594595,avge,WBM Input,Unknown,,
284,FL00271,3100899,3100899,27.808332,27.8083,-81.191666,-81.1917,730000,0.479452055,0.119863014,0.359589041,avge,WBM Input,Unknown,,
285,FL00280,3315952,3315952,27.508333,27.5083,-82.35833,-82.3583,46600,0.487124464,0.121781116,0.365343348,avge,WBM Input,Unknown,,
286,FL00310,3100787,3100787,26.725,26.725,-81.691666,-81.6917,32266,0.818322693,0.204580673,0.613742019,avge,WBM Input,Unknown,,
287,FL00338,3280091,3280091,26.358334,26.3583,-80.291664,-80.2917,430000,0.697674419,0.174418605,0.523255814,avge,WBM Input,Unknown,,
288,FL00435,2818020,2818020,30.708334,30.7083,-84.85833,-84.8583,406200,1,0.853732589,0.878330546,calibrated,"No WBM Input, Hydro",Peaking,,
289,FL00440,3101236,3101236,27.341667,27.3417,-81.425003,-81.425,44676,0.745903841,0.18647596,0.559427881,avge,WBM Input,Unknown,,
290,FL13002,3210890,3210890,28.058332,28.0583,-81.64167,-81.6417,38280,1,0.25,0.75,avge,WBM Input,Unknown,,
291,FL13003,3210640,3210640,27.958334,27.9583,-81.841667,-81.8417,44048,1,0.25,0.75,avge,WBM Input,Unknown,,
292,FL36006,3304419,3304419,26.674999,26.675,-80.35833,-80.3583,494000,1,0.25,0.75,avge,WBM Input,Unknown,,
293,FL36010,3280101,3280101,26.475,26.475,-80.441666,-80.4417,658000,0.364741641,0.09118541,0.273556231,avge,WBM Input,Unknown,,
294,FL78006,3342371,3342371,28.041666,28.0417,-82.691666,-82.6917,24447,0.317257741,0.079314435,0.237943306,avge,WBM Input,Unknown,,
295,GA00201,2902496,2902496,32.825001,32.825,-83.775002,-83.775,43054,0.577878943,0.144469736,0.433409207,avge,WBM Input,Unknown,,
296,GA00730,2564622,2564622,34.808334,34.8083,-84.974998,-84.975,27728,0.017419215,0.004354804,0.013064411,avge,WBM Input,Unknown,,
297,GA00820,2818260,2818260,32.924999,32.925,-85.191666,-85.1917,605000,1,0.803292385,0.971884746,calibrated,WBM Input,Peaking,,
298,GA00821,2558807,2558807,34.608334,34.6083,-84.675003,-84.675,472800,1,0.789394628,0.811956403,calibrated,WBM Input,Peaking,,
299,GA00824,2818459,2818459,34.158333,34.1583,-84.074997,-84.075,2554000,0.750587314,0.781115105,0.958670425,calibrated,"No WBM Input, Hydro",ROR,,
300,GA00826,2818210,2818210,32.608334,32.6083,-85.074997,-85.075,10000,0.85,0.2125,0.6375,avge,WBM Input,Run-of-river/Upstream Peaking,,
301,GA00830,2818213,2818213,32.658333,32.6583,-85.091667,-85.0917,183000,1,0.25,0.75,avge,WBM Input,Peaking,,
302,GA00836,2902051,2902051,33.141666,33.1417,-83.208336,-83.2083,490000,0.679591837,0.169897959,0.509693878,avge,"No WBM Input, Hydro",ROR,,
303,GA00837,2818203,2818203,32.508335,32.5083,-84.991669,-84.9917,32000,1,0.25,0.75,avge,WBM Input,Run-of-river/Upstream Peaking,,
304,GA00839,2563592,2563592,34.375,34.375,-85.275002,-85.275,23500,0.845957447,0.211489362,0.634468085,avge,WBM Input,Unknown,,
305,GA00844,2978358,2978358,34.724998,34.725,-83.35833,-83.3583,43000,1,0.25,0.75,avge,WBM Input,Peaking,,
306,GA00855,2978525,2978525,34.741665,34.7417,-83.39167,-83.3917,2450,0.979591837,0.244897959,0.734693878,avge,WBM Input,Peaking,,
307,GA00856,2978547,2978547,34.775002,34.775,-83.425003,-83.425,31000,0.879032258,0.219758065,0.659274194,avge,WBM Input,Peaking,,
308,GA00864,2978609,2978609,34.791668,34.7917,-83.525002,-83.525,108000,1,0.25,0.75,avge,WBM Input,Peaking,,
309,GA00873,2902122,2902122,33.325001,33.325,-83.841667,-83.8417,107000,0.906542056,0.226635514,0.679906542,avge,WBM Input,Peaking,,
310,GA01701,2978139,2978139,33.658333,33.6583,-82.191666,-82.1917,3820000,0.657068063,0.556483169,0.649361095,calibrated,WBM Input,Unknown,,
311,GA01702,2978187,2978187,34.358334,34.3583,-82.824997,-82.825,3438700,0.74155931,0.668392031,0.747510315,calibrated,WBM Input,Peaking,,
312,GA01705,2978167,2978167,34.025002,34.025,-82.60833,-82.6083,1488166,0.689573609,0.652371203,0.688518018,calibrated,WBM Input,Peaking,,
313,GA03742,2558376,2558376,34.158333,34.1583,-84.724998,-84.725,670050,1,0.397520081,0.538621179,calibrated,WBM Input,Peaking,,
314,GA04461,2820350,2820350,33.424999,33.425,-85.025002,-85.025,46460,0.731812312,0.182953078,0.548859234,avge,WBM Input,Unknown,,
315,GA05484,2819243,2819243,33.375,33.375,-84.591667,-84.5917,20800,0.40625,0.1015625,0.3046875,avge,WBM Input,Unknown,,
316,GA05490,2819923,2819923,33.541668,33.5417,-84.941666,-84.9417,21573,1,0.25,0.75,avge,WBM Input,Unknown,,
317,GA07200,2902937,2902937,33.375,33.375,-83.974998,-83.975,68983,1,0.25,0.75,avge,WBM Input,Unknown,,
318,GA11101,62293,62293,34.875,34.875,-84.275002,-84.275,228045,0.8,0.241621289,0.383831291,calibrated,WBM Input,Peaking,,
319,GA29101,61793,61793,34.958332,34.9583,-84.091667,-84.0917,216147,0.806395647,0.198246682,0.308974671,calibrated,WBM Input,Peaking,,
320,IA00004,3389,3389,42.258335,42.2583,-90.425003,-90.425,92000,1,0.25,0.75,avge,WBM Input,Unknown,,
321,IA00005,3334,3334,41.908333,41.9083,-90.158333,-90.1583,192000,1,0.25,0.75,avge,WBM Input,Unknown,,
322,IA00006,3268,3268,41.575001,41.575,-90.39167,-90.3917,82000,1,0.25,0.75,avge,WBM Input,Unknown,,
323,IA00007,3258,3258,41.525002,41.525,-90.558334,-90.5583,30000,1,0.25,0.75,avge,WBM Input,Unknown,,
324,IA00008,2918,2918,41.424999,41.425,-91.008331,-91.0083,88000,1,0.25,0.75,avge,WBM Input,Unknown,,
325,IA00009,2904,2904,41.208332,41.2083,-91.074997,-91.075,50000,1,0.25,0.75,avge,WBM Input,Unknown,,
326,IA00010,2836,2836,40.891666,40.8917,-91.008331,-91.0083,90000,1,0.25,0.75,avge,WBM Input,Unknown,,
327,IA00012,18909,18909,41.724998,41.725,-91.525002,-91.525,420960,0.066752185,0.06392438,0.109299076,calibrated,WBM Input,Unknown,,
328,IA00013,10381,10381,41.375,41.375,-92.974998,-92.975,1624970,0.11630984,0.118942298,0.180666988,calibrated,WBM Input,Unknown,,
329,IA00015,106372,106372,41.808334,41.8083,-93.741669,-93.7417,27500,0.567272727,0.141818182,0.425454545,avge,WBM Input,Unknown,,
330,IA00016,39939,39939,40.825001,40.825,-92.875,-92.875,552000,0.372027174,0.37039648,0.489660622,calibrated,WBM Input,Unknown,,
331,IA00017,14162,14162,41.724998,41.725,-93.691666,-93.6917,641000,0.115444618,0.028861154,0.086583463,avge,WBM Input,Unknown,,
332,IA00077,150977,150977,41.058334,41.0583,-94.741669,-94.7417,25310,0.341762149,0.085440537,0.256321612,avge,WBM Input,Unknown,,
333,IA00415,40049,40049,41.708332,41.7083,-94.39167,-94.3917,60200,0.327242525,0.081810631,0.245431894,avge,WBM Input,Unknown,,
334,IA02194,168082,168082,41.041668,41.0417,-94.241669,-94.2417,27200,0.375,0.09375,0.28125,avge,WBM Input,Unknown,,
335,IA02263,167824,167824,40.758335,40.7583,-93.775002,-93.775,32650,0.332894334,0.083223583,0.24967075,avge,WBM Input,Unknown,,
336,IA02626,180542,180542,40.691666,40.6917,-91.991669,-91.9917,21570,0.340751043,0.085187761,0.255563282,avge,WBM Input,Unknown,,
337,IA02944,124925,124925,41.091667,41.0917,-94.224998,-94.225,29950,0.47048414,0.117621035,0.352863105,avge,WBM Input,Unknown,,
338,IA03163,143855,143855,41.508335,41.5083,-96.008331,-96.0083,45400,0.159933921,0.03998348,0.119950441,avge,WBM Input,Unknown,,
339,IA04014,3598,3598,42.791668,42.7917,-91.091667,-91.0917,212000,0.731132075,0.182783019,0.548349057,avge,WBM Input,Unknown,,
340,ID00051,1562364,1562364,42.591667,42.5917,-114.341667,-114.3417,955,1,0.25,0.75,avge,"No WBM Input, Hydro",ROR,,
341,ID00052,1562321,1562321,42.841667,42.8417,-114.908333,-114.9083,10900,1,0.25,0.75,avge,"No WBM Input, Hydro",ROR,,
342,ID00053,1562289,1562289,42.908333,42.9083,-115.074997,-115.075,8415,1,0.25,0.75,avge,"No WBM Input, Hydro",ROR,,
343,ID00054,1562228,1562228,42.941666,42.9417,-115.974998,-115.975,250000,0.988,0.9875833,0.993984597,calibrated,"No WBM Input, Hydro",ROR,,
344,ID00055,1561826,1561826,45.224998,45.225,-116.708336,-116.7083,188000,0.904255319,0.22606383,0.678191489,avge,WBM Input,Peaking,,
345,ID00056,1561857,1561857,44.841667,44.8417,-116.89167,-116.8917,1470000,1,0.25,0.75,avge,WBM Input,Peaking,,
346,ID00057,1561843,1561843,44.974998,44.975,-116.841667,-116.8417,58200,1,0.25,0.75,avge,WBM Input,Unknown,,
347,ID00059,2460947,2460947,42.591667,42.5917,-111.724998,-111.725,1100,0.818181818,0.204545455,0.613636364,avge,WBM Input,Run-of-river/Upstream Peaking,,
348,ID00222,1562588,1562588,48.091667,48.0917,-116.041664,-116.0417,104600,1,0.25,0.75,avge,WBM Input,Peaking,,
349,ID00223,1562384,1562384,42.525002,42.525,-114.008331,-114.0083,39000,1,0.25,0.75,avge,WBM Input,Unknown,,
350,ID00272,1570830,1570830,44.424999,44.425,-111.408333,-111.4083,169646,0.752425639,0.469969319,0.716062257,calibrated,WBM Input,Unknown,,
351,ID00273,1564600,1564600,43.341667,43.3417,-111.208336,-111.2083,1417810,0.988143686,0.337854135,0.739116406,calibrated,WBM Input,Intermediate Peaking,,
352,ID00280,1565993,1565993,43.591667,43.5917,-115.925003,-115.925,283700,0.959548819,0.287496755,0.820960042,calibrated,WBM Input,Unknown,,
353,ID00283,1569556,1569556,44.525002,44.525,-116.041664,-116.0417,860000,0.81744186,0.448669413,0.606141533,calibrated,WBM Input,Unknown,,
354,ID00284,1579984,1579984,44.308334,44.3083,-115.658333,-115.6583,191600,0.845511482,0.211377871,0.634133612,avge,WBM Input,Unknown,,
355,ID00287,1565859,1565859,46.508335,46.5083,-116.308334,-116.3083,3560000,0.974157303,0.642529707,0.930572774,calibrated,WBM Input,None,,
356,ID00288,1565596,1565596,43.525002,43.525,-116.058334,-116.0583,307000,0.954846906,0.242591128,0.817320223,calibrated,WBM Input,Unknown,,
357,ID00319,1562500,1562500,48.174999,48.175,-116.991669,-116.9917,1155000,0.998268398,0.479118827,0.999,calibrated,WBM Input,Peaking,,
358,ID00344,1569601,1569601,43.575001,43.575,-111.741669,-111.7417,100500,0.900497512,0.390475672,0.688942801,calibrated,WBM Input,Unknown,,
359,IL00012,117108,117108,37.775002,37.775,-89.441666,-89.4417,153000,0.513071895,0.128267974,0.384803922,avge,WBM Input,Unknown,,
360,IL00033,159145,159145,37.674999,37.675,-89.308334,-89.3083,49336,0.574935139,0.143733785,0.431201354,avge,WBM Input,Unknown,,
361,IL00083,64340,64340,37.724998,37.725,-89.158333,-89.1583,254000,0.227559055,0.056889764,0.170669291,avge,WBM Input,Unknown,,
362,IL00084,204023,204023,37.641666,37.6417,-89.14167,-89.1417,30900,0.776699029,0.194174757,0.582524272,avge,WBM Input,Unknown,,
363,IL00085,170699,170699,37.625,37.625,-89.091667,-89.0917,34500,0.710144928,0.177536232,0.532608696,avge,WBM Input,Unknown,,
364,IL00113,19715,19715,38.608334,38.6083,-89.35833,-89.3583,1273734,0.219959583,0.054989896,0.164969688,avge,WBM Input,Unknown,,
365,IL00115,14708,14708,37.991665,37.9917,-89.941666,-89.9417,25246,0.878673849,0.219668462,0.659005387,avge,WBM Input,Unknown,,
366,IL00117,44772,44772,38.025002,38.025,-88.974998,-88.975,607910,0.303786745,0.296343175,0.435495043,calibrated,WBM Input,Unknown,,
367,IL00118,30469,30469,39.424999,39.425,-88.775002,-88.775,1026546,0.202457562,0.171579029,0.217283472,calibrated,WBM Input,Unknown,,
368,IL00133,200572,200572,39.441666,39.4417,-89.89167,-89.8917,24708,0.629876963,0.157469241,0.472407722,avge,WBM Input,Unknown,,
369,IL00141,113703,113703,39.341667,39.3417,-88.474998,-88.475,22569,0.523727236,0.130931809,0.392795427,avge,WBM Input,Unknown,,
370,IL00146,33231,33231,39.825001,39.825,-88.958336,-88.9583,57520,0.320236439,0.08005911,0.24017733,avge,WBM Input,Unknown,,
371,IL00288,28951,28951,42.308334,42.3083,-88.241669,-88.2417,113000,0.327433628,0.081858407,0.245575221,avge,WBM Input,Unknown,,
372,IL00334,175057,175057,38.758335,38.7583,-88.074997,-88.075,22680,0.549382716,0.137345679,0.412037037,avge,WBM Input,Unknown,,
373,IL00359,134815,134815,40.641666,40.6417,-89.041664,-89.0417,22875,0.676721311,0.169180328,0.507540984,avge,WBM Input,Unknown,,
374,IL00594,155563,155563,38.924999,38.925,-89.39167,-89.3917,22400,0.441964286,0.110491071,0.331473214,avge,WBM Input,Unknown,,
375,IL00607,200209,200209,39.125,39.125,-88.60833,-88.6083,20392,0.57473519,0.143683798,0.431051393,avge,WBM Input,Unknown,,
376,IL00673,163762,163762,39.658333,39.6583,-89.474998,-89.475,73000,0.465753425,0.116438356,0.349315068,avge,WBM Input,Unknown,,
377,IL00678,81201,81201,39.508335,39.5083,-89.258331,-89.2583,28500,0.364701754,0.091175439,0.273526316,avge,WBM Input,Unknown,,
378,IL00693,84349,84349,39.191666,39.1917,-89.60833,-89.6083,44430,0.346162503,0.086540626,0.259621877,avge,WBM Input,Unknown,,
