,NIDID,cell_id,cell_id_orig,lat,lat_orig,lon,lon_orig,res_capacity,storage_ratio,storage_ratio_25th,storage_ratio_75th,parameter_type,WBM_Decision,ror_type,,*res_capacity is maximum storage in acre-feet
43,AR00160,14545,14545,36.341667,36.3417,-92.558334,-92.5583,5408000,0.563609467,0.514240864,0.593984456,calibrated,WBM Input,Peaking,,
44,AR00162,2488,2488,35.258335,35.2583,-93.191666,-93.1917,486200,0.86569313,0.97449059,0.998606534,calibrated,"No WBM Input, Hydro",ROR,,
45,AR00163,2562,2562,35.358334,35.3583,-94.291664,-94.2917,59100,0.898477157,0.224619289,0.673857868,avge,WBM Input,Unknown,,
46,AR00164,2530,2530,35.474998,35.475,-93.824997,-93.825,148400,0.869272237,0.217318059,0.651954178,avge,"No WBM Input, Hydro",ROR,,
47,AR00165,2460,2460,35.125,35.125,-92.791664,-92.7917,70400,0.693181818,0.173295455,0.519886364,avge,WBM Input,Unknown,,
48,AR00166,2389,2389,34.424999,34.425,-92.10833,-92.1083,68500,0.894890511,0.223722628,0.671167883,avge,WBM Input,Unknown,,
49,AR00167,2373,2373,34.258335,34.2583,-91.908333,-91.9083,77000,0.914285714,0.228571429,0.685714286,avge,WBM Input,Unknown,,
50,AR00168,2360,2360,34.174999,34.175,-91.691666,-91.6917,50400,0.920634921,0.23015873,0.69047619,avge,WBM Input,Unknown,,
51,AR00169,2334,2334,33.991665,33.9917,-91.308334,-91.3083,133200,0.826426426,0.206606607,0.61981982,avge,WBM Input,Unknown,,
52,AR00170,2442,2442,35.075001,35.075,-92.541664,-92.5417,37300,0.884718499,0.221179625,0.663538874,avge,WBM Input,Unknown,,
53,AR00171,2419,2419,34.791668,34.7917,-92.35833,-92.3583,108500,0.802764977,0.200691244,0.602073733,avge,"No WBM Input, Hydro",ROR,,
54,AR00172,2404,2404,34.674999,34.675,-92.158333,-92.1583,59600,0.830536913,0.207634228,0.622902685,avge,WBM Input,Unknown,,
55,AR00173,29582,29582,35.525002,35.525,-91.991669,-91.9917,2844000,0.671589311,0.61979914,0.690706068,calibrated,WBM Input,Peaking,,
56,AR00174,29444,29444,36.424999,36.425,-93.841667,-93.8417,1952000,0.846311475,0.751409902,0.877942582,calibrated,WBM Input,Peaking,,
57,AR00446,96823,96823,35.691666,35.6917,-94.125,-94.125,140000,0.6,0.15,0.45,avge,WBM Input,Unknown,,
58,AR00477,318075,318075,35.525002,35.525,-90.675003,-90.675,29500,0.55240678,0.138101695,0.414305085,avge,WBM Input,Unknown,,
59,AR00534,26578,26578,34.441666,34.4417,-93.025002,-93.025,235500,0.777749469,0.194437367,0.583312102,avge,WBM Input,Peaking,,
60,AR00535,25843,25843,34.424999,34.425,-92.89167,-92.8917,57260,0.582256374,0.145564094,0.436692281,avge,WBM Input,Peaking,,
61,AR00536,17164,17164,33.691666,33.6917,-93.958336,-93.9583,1854930,0.092725871,0.112522588,0.121215119,calibrated,WBM Input,Unknown,,
62,AR00698,84137,84137,34.641666,34.6417,-91.491669,-91.4917,28000,0.714285714,0.178571429,0.535714286,avge,WBM Input,Unknown,,
63,AR00872,48211,48211,33.058334,33.0583,-93.525002,-93.525,138250,0.555153707,0.138788427,0.41636528,avge,WBM Input,Unknown,,
64,AR00901,164974,164974,34.641666,34.6417,-94.10833,-94.1083,22300,0.269058296,0.067264574,0.201793722,avge,WBM Input,Unknown,,
65,AR00989,117192,117192,33.258335,33.2583,-91.224998,-91.225,34000,1,0.25,0.75,avge,WBM Input,Unknown,,
66,AR01100,221630,221630,36.258335,36.2583,-94.525002,-94.525,24400,0.75,0.1875,0.5625,avge,WBM Input,Unknown,,
67,AR01200,57631,57631,34.208332,34.2083,-94.224998,-94.225,221800,0.149233544,0.148031564,0.162768929,calibrated,WBM Input,Unknown,,
68,AR01201,68237,68237,34.091667,34.0917,-94.375,-94.375,370600,0.094171614,0.093591588,0.09928356,calibrated,WBM Input,Unknown,,
69,AR01202,84286,84286,34.141666,34.1417,-94.091667,-94.0917,159500,0.186206897,0.185129604,0.199920455,calibrated,WBM Input,Unknown,,
70,AR01322,154706,154706,35.141666,35.1417,-94.058334,-94.0583,29200,0.159931507,0.039982877,0.11994863,avge,WBM Input,Unknown,,
71,AR01422,152445,152445,35.241665,35.2417,-92.591667,-92.5917,23500,0.765957447,0.191489362,0.574468085,avge,WBM Input,Unknown,,
72,AR01478,122710,122710,33.291668,33.2917,-93.39167,-93.3917,66063,0.435750723,0.108937681,0.326813042,avge,WBM Input,Unknown,,
73,AR01514,11323,11323,33.058334,33.0583,-92.125,-92.125,76700,0.734028683,0.183507171,0.550521512,avge,WBM Input,Unknown,,
74,AR01515,13989,13989,33.308334,33.3083,-92.491669,-92.4917,108000,0.739814815,0.184953704,0.554861111,avge,WBM Input,Unknown,,
75,AR01516,194841,194841,33.691666,33.6917,-91.875,-91.875,35804,0.687548877,0.171887219,0.515661658,avge,WBM Input,Unknown,,
76,AR01522,247496,247496,35.375,35.375,-93.191666,-93.1917,23342,0.763087996,0.190771999,0.572315997,avge,WBM Input,Unknown,,
77,AR01545,6478,6478,33.941666,33.9417,-91.091667,-91.0917,10595,0.703350637,0.175837659,0.527512978,avge,WBM Input,Unknown,,
78,AZ00004,2100939,2100939,34.358334,34.3583,-109.375,-109.375,44500,0.687640449,0.171910112,0.515730337,avge,WBM Input,Unknown,,
79,AZ00016,2109952,2109952,35.058334,35.0583,-111.508331,-111.5083,21041,0.787795257,0.196948814,0.590846443,avge,WBM Input,Unknown,,
80,AZ00202,2107189,2107189,33.741665,33.7417,-112.224998,-112.225,102520,1,0.25,0.75,avge,WBM Input,Unknown,,
81,AZ00203,2110146,2110146,33.708332,33.7083,-112.125,-112.125,61000,1,0.25,0.75,avge,WBM Input,Unknown,,
82,AZ00207,2106128,2106128,34.408333,34.4083,-110.10833,-110.1083,62000,0.096774194,0.024193548,0.072580645,avge,WBM Input,Unknown,,
83,AZ10002,2095927,2095927,33.075001,33.075,-113.008331,-113.0083,4831500,2.07E-07,5.17E-08,1.55E-07,avge,WBM Input,Unknown,,
84,AZ10004,2108156,2108156,33.291668,33.2917,-111.258331,-111.2583,64910,1.54E-05,3.85E-06,1.16E-05,avge,WBM Input,Unknown,,
85,AZ10007,2107303,2107303,33.724998,33.725,-112.041664,-112.0417,122000,1,0.25,0.75,avge,WBM Input,Unknown,,
86,AZ10307,2095711,2095711,36.941666,36.9417,-111.491669,-111.4917,29875000,0.90376569,0.396291242,0.678168226,calibrated,WBM Input,Intermediate Peaking,,
87,AZ10308,2097236,2097236,33.825001,33.825,-111.625,-111.625,249693,0.712875411,0.340993527,0.656394216,calibrated,WBM Input,Unknown,,
88,AZ10309,2095384,2095384,35.191666,35.1917,-114.574997,-114.575,1592300,1,0.95436275,0.999,calibrated,WBM Input,Intermediate Peaking,,
